HVM,,,,,,,,,,,,,
,Damir Tubin ,M21B ,OK Jelen,CRO,  ,,,,108:44 ,(4),,disq ,
,Tomislav Jurač ,M21B ,OK Vihor,CRO,  ,,,,dnf ,,,disq ,
,Danko Pleše ,M21B ,OK Vihor,CRO,  ,,,,56:35 ,(2),,disq ,
,Jerko Penić ,M21B ,OK Vihor,CRO,  ,,,,91:49 ,(3),,disq ,
,Tomislav Braniša ,M21B ,OK Medjimurje,CRO,  ,dns ,,,134:30 ,(6),,disq ,
,Dario Vodopija ,M21B ,OK Kapela,CRO,  ,,,,dns ,,,disq ,
,Siniša Lah ,M21B ,Orijentacijski klub Varaždin,CRO,  ,dns ,,,dns ,,,disq ,
,,,,,,,,,,,,,
M35,,,,,,,,,,,,,
1.,Petar Delić ,M35 ,OK Maksimir,CRO,  ,36:14 ,(1),,73:52 ,(1),,110:06 ,
2.,Goran Vodopija ,M35 ,OK Kapela,CRO,  ,38:53 ,(2),,79:16 ,(3),,118:09 ,+08:03
3.,Franjo Budi ,M35 ,OK Japetic,CRO,  ,39:43 ,(3),,84:41 ,(4),,124:24 ,+14:18
4.,Branimir Pongrac ,M35 ,OK Japetic,CRO,  ,44:24 ,(4),,110:29 ,(8),,154:53 ,+44:47
5.,Tomislav Meštrović ,M35 ,OK Kapela,CRO,  ,78:22 ,(5),,104:02 ,(7),,182:24 ,+72:18
,Darko Surjan ,M35 ,OK Kapela,CRO,  ,,,,132:56 ,(12),,disq ,
,Ivan Gverić ,M35 ,OK Kapela,CRO,  ,,,,112:04 ,(9),,disq ,
,Miroslav Hainž ,M35 ,Orijentacijski klub Varaždin,CRO,  ,,,,156:26 ,(14),,disq ,
,Tomislav Vuk ,M35 ,OK Vihor,CRO,  ,,,,101:39 ,(6),,disq ,
,Goran Rihter ,M35 ,OK Kapela,CRO,  ,,,,114:04 ,(11),,disq ,
,Duje Rako ,M35 ,OK Vihor,CRO,  ,dns ,,,155:48 ,(13),,disq ,
,Tomislav Kaniški ,M35 ,OK Maksimir,CRO,  ,,,,76:44 ,(2),,disq ,
,Marko Bunčić ,M35 ,OK Kapela,CRO,  ,,,,dns ,,,disq ,
,Vladimir Spasić ,M35 ,OK Kapela,CRO,  ,,,,89:21 ,(5),,disq ,
,Ivan Bublić ,M35 ,OK Kapela,CRO,  ,mp ,,,113:49 ,(10),,disq ,
,,,,,,,,,,,,,
M45,,,,,,,,,,,,,
1.,Damir Gobec ,M45 ,OK Vihor,CRO,  ,41:34 ,(1),,55:47 ,(1),,97:21 ,
2.,Ivo Tišljar ,M45 ,OK Orion,CRO,  ,56:06 ,(2),,61:41 ,(3),,117:47 ,+20:26
3.,Vladimir Trivunović ,M45 ,OK Kapela,CRO,  ,62:48 ,(4),,87:01 ,(6),,149:49 ,+52:28
4.,Petar Strmečki ,M45 ,OK Maksimir,CRO,  ,58:35 ,(3),,98:36 ,(12),,157:11 ,+59:50
5.,Hrvoje Dasović ,M45 ,OK Kapela,CRO,  ,68:18 ,(5),,105:47 ,(13),,174:05 ,+76:44
,Damir Hercigonja ,M45 ,OK Kapela,CRO,  ,dns ,,,95:03 ,(10),,disq ,
,Branko Crljenica ,M45 ,OK Medjimurje,CRO,  ,dns ,,,91:20 ,(9),,disq ,
,Mladen Vukmanović ,M45 ,OK Kapela,CRO,  ,,,,83:54 ,(5),,disq ,
,Emil Anadolac ,M45 ,Orijentacijski klub Varaždin,CRO,  ,dnf ,,,dns ,,,disq ,
,Domagoj Pavlin ,M45 ,OK Vihor,CRO,  ,,,,87:21 ,(7),,disq ,
,Predrag Markulinčić ,M45 ,OK Medjimurje,CRO,  ,,,,dns ,,,disq ,
,Zdravko Tonković ,M45 ,OK Kapela,CRO,  ,,,,168:12 ,(14),,disq ,
,Robert Orehoci ,M45 ,OK Bjelovar,CRO,  ,,,,60:15 ,(2),,disq ,
,Darko Merunka ,M45 ,OK Maksimir,CRO,  ,,,,88:21 ,(8),,disq ,
,Milivoj Uroic ,M45 ,OK Maksimir,CRO,  ,79:57 ,(6),,dns ,,,disq ,
,Boris Mazić ,M45 ,OK Vihor,CRO,  ,,,,mp ,,,disq ,
,Vlatko Tounec ,M45 ,OK Kapela,CRO,  ,dns ,,,96:08 ,(11),,disq ,
,Zdenko Horjan ,M45 ,OK Vihor,CRO,  ,,,,64:03 ,(4),,disq ,
,,,,,,,,,,,,,
M55,,,,,,,,,,,,,
1.,Mladen Jelić ,M55 ,OK Kapela,CRO,  ,50:12 ,(2),,88:47 ,(4),,138:59 ,
2.,Mile Mioković ,M55 ,OK Kapela,CRO,  ,53:39 ,(3),,85:27 ,(2),,139:06 ,+00:07
3.,Dario Štambuk ,M55 ,OK Ivan Merz,CRO,  ,48:18 ,(1),,101:41 ,(5),,149:59 ,+11:00
4.,Krešo Špoljar ,M55 ,OK Kapela,CRO,  ,60:08 ,(4),,155:16 ,(8),,215:24 ,+76:25
,Zdravko Crnković ,M55 ,OK Vihor,CRO,  ,,,,88:37 ,(3),,disq ,
,Mile Boban ,M55 ,OK Ivan Merz,CRO,  ,dns ,,,132:31 ,(6),,disq ,
,Saša Horvat ,M55 ,OK Maksimir,CRO,  ,,,,84:51 ,(1),,disq ,
,Robert Vuk ,M55 ,OK Kapela,CRO,  ,dns ,,,,,,disq ,
,Slobodan Sokolović ,M55 ,OK Bjelovar,CRO,  ,108:41 ,(5),,,,,disq ,
,Josip Matijašić ,M55 ,OK Vihor,CRO,  ,,,,146:55 ,(7),,disq ,
,,,,,,,,,,,,,
M65,,,,,,,,,,,,,
1.,Milan Turkalj ,M65 ,Orijentacijski klub Varaždin,CRO,  ,114:14 ,(1),,103:22 ,(4),,217:36 ,
,Ivan Pongrac ,M65 ,OK Japetic,CRO,  ,,,,75:53 ,(1),,disq ,
,Ivica Mesić ,M65 ,OK Vihor,CRO,  ,,,,81:33 ,(2),,disq ,
,Radovan Čepelak ,M65 ,OK Maksimir,CRO,  ,dns ,,,153:05 ,(5),,disq ,
,Tomislav Pavić ,M65 ,OK Vihor,CRO,  ,,,,99:33 ,(3),,disq ,
,,,,,,,,,,,,,
OPEN,,,,,,,,,,,,,
1.,Predrag Labaš ,OPEN ,Orijentacijski klub Varaždin,CRO,  ,33:44 ,(1),,98:19 ,(2),,132:03 ,
2.,Ivan Šantek ,OPEN ,Orijentacijski klub Varaždin,CRO,  ,51:44 ,(4),,87:26 ,(1),,139:10 ,+07:07
,Roko Kaniški ,OPEN ,OK Maksimir,CRO,  ,,,,118:18 ,(4),,disq ,
,Ema Jurač ,OPEN ,OK Vihor,CRO,  ,,,,dns ,,,disq ,
,Iva Detić ,OPEN ,Orijentacijski klub Varaždin,CRO,  ,59:41 ,(5),,,,,disq ,
,Ivan Pasquino ,OPEN ,Orijentacijski klub Varaždin,CRO,  ,dns ,,,,,,disq ,
,Dorijan Tubin ,OPEN ,OK Jelen,CRO,  ,,,,dnf ,,,disq ,
,Lucija Detić ,OPEN ,Orijentacijski klub Varaždin,CRO,  ,62:03 ,(6),,,,,disq ,
,Maja Srebačić ,OPEN ,Orijentacijski klub Varaždin,CRO,  ,46:00 ,(2),,,,,disq ,
,Masimilijan Vađon ,OPEN ,Orijentacijski klub Varaždin,CRO,  ,90:31 ,(7),,dnf ,,,disq ,
,Aleksandra Brezovečki Biđin ,OPEN ,OK Vihor,CRO,  ,,,,dnf ,,,disq ,
,Marc Puškarić ,OPEN ,OK Vihor,CRO,  ,,,,dns ,,,disq ,
,Sanja Šalaj ,OPEN ,OK Jelen,CRO,  ,,,,118:38 ,(5),,disq ,
,Zvonimir Jurčić ,OPEN ,OK Vihor,CRO,  ,,,,dns ,,,disq ,
,Davorka Srebačić ,OPEN ,Orijentacijski klub Varaždin,CRO,  ,48:21 ,(3),,,,,disq ,
,Lucia Puškarić ,OPEN ,OK Vihor,CRO,  ,,,,dns ,,,disq ,
,Petar Šalaj ,OPEN ,OK Jelen,CRO,  ,,,,118:09 ,(3),,disq ,
,,,,,,,,,,,,,
W12,,,,,,,,,,,,,
1.,Gloria Šantić ,W12 ,OK Bjelovar,CRO,  ,35:31 ,(2),,36:48 ,(1),,72:19 ,
2.,Dora Delić ,W12 ,OK Jelen,CRO,  ,31:33 ,(1),,41:42 ,(2),,73:15 ,+00:56
3.,Luna Bajrektarević ,W12 ,OK Vihor,CRO,  ,36:52 ,(3),,46:48 ,(3),,83:40 ,+11:21
4.,Ana Budi ,W12 ,OK Japetic,CRO,  ,45:11 ,(6),,57:36 ,(5),,102:47 ,+30:28
5.,Ines Ostajmer ,W12 ,OK Vihor,CRO,  ,40:53 ,(5),,72:51 ,(6),,113:44 ,+41:25
6.,Sara Delić ,W12 ,OK Jelen,CRO,  ,37:30 ,(4),,85:11 ,(10),,122:41 ,+50:22
,Greta Kaniški ,W12 ,OK Maksimir,CRO,  ,,,,77:17 ,(9),,disq ,
,Beatrice Velimirović ,W12 ,OK Maksimir,CRO,  ,,,,77:06 ,(8),,disq ,
,Vittoria Velimirović ,W12 ,OK Maksimir,CRO,  ,,,,76:49 ,(7),,disq ,
,Lucija Hercigonja ,W12 ,OK Kapela,CRO,  ,,,,54:44 ,(4),,disq ,
,,,,,,,,,,,,,
W14,,,,,,,,,,,,,
1.,Melissa Drobić ,W14 ,OK Kapela,CRO,  ,36:04 ,(1),,45:11 ,(4),,81:15 ,
2.,Paola Rako ,W14 ,OK Vihor,CRO,  ,41:14 ,(2),,40:40 ,(3),,81:54 ,+00:39
3.,Petra Dasović ,W14 ,OK Kapela,CRO,  ,51:09 ,(4),,60:27 ,(6),,111:36 ,+30:21
,Wanda Kovac ,W14 ,OK Kapela,CRO,  ,,,,40:01 ,(2),,disq ,
,Lucija Marijela Štambuk ,W14 ,OK Ivan Merz,CRO,  ,49:15 ,(3),,,,,disq ,
,Monika Pavić ,W14 ,OK Vihor,CRO,  ,,,,35:59 ,(1),,disq ,
,Nina Mioković ,W14 ,OK Kapela,CRO,  ,,,,47:57 ,(5),,disq ,
,,,,,,,,,,,,,
W16,,,,,,,,,,,,,
1.,Zdenka Petra Štambuk ,W16 ,OK Ivan Merz,CRO,  ,22:15 ,(1),,51:20 ,(1),,73:35 ,
,Mare Gršković ,W16 ,OK Kapela,CRO,  ,,,,161:58 ,(2),,disq ,
,Nika Kolarek ,W16 ,OK Vihor,CRO,  ,,,,191:30 ,(3),,disq ,
,,,,,,,,,,,,,
W20,,,,,,,,,,,,,
,Rea Boban ,W20 ,OK Ivan Merz,CRO,  ,dns ,,,dnf ,,,disq ,
,Paula Pavlin ,W20 ,OK Vihor,CRO,  ,,,,77:57 ,(1),,disq ,
,,,,,,,,,,,,,
W21A,,,,,,,,,,,,,
,Iva Štambuk ,W21A ,OK Maksimir,CRO,  ,42:56 ,(1),,,,,disq ,
,Jelena Brezak ,W21A ,OK Kapela,CRO,  ,,,,dns ,,,disq ,
,Ana Tišljar ,W21A ,OK Maksimir,CRO,  ,53:30 ,(2),,dns ,,,disq ,
,Vinka Vukmanović ,W21A ,OK Kapela,CRO,  ,dns ,,,69:47 ,(1),,disq ,
,Tena Sakar Vukić ,W21A ,OK Maksimir,CRO,  ,,,,117:46 ,(2),,disq ,
,,,,,,,,,,,,,
W21B,,,,,,,,,,,,,
1.,Sandra Bergant Vidaković ,W21B ,OK Kapela,CRO,  ,61:27 ,(4),,71:19 ,(1),,132:46 ,
2.,Ana Kovačić ,W21B ,OK Vihor,CRO,  ,56:01 ,(2),,103:23 ,(4),,159:24 ,+26:38
3.,Jelena Lesjak ,W21B ,OK Japetic,CRO,  ,59:22 ,(3),,105:11 ,(6),,164:33 ,+31:47
4.,Mirjana Mandić ,W21B ,OK Japetic,CRO,  ,64:03 ,(5),,114:05 ,(7),,178:08 ,+45:22
5.,Aida Krkić Drobić ,W21B ,OK Kapela,CRO,  ,52:12 ,(1),,134:32 ,(10),,186:44 ,+53:58
,Olga Pajnić ,W21B ,OK Kapela,CRO,  ,69:19 ,(6),,,,,disq ,
,Sandra Latinger ,W21B ,OK Kapela,CRO,  ,,,,mp ,,,disq ,
,Antea Popović ,W21B ,OK Kapela,CRO,  ,,,,104:04 ,(5),,disq ,
