M12,,,,,,,,,,
1.,Petar Delić ,M35 ,OK Maksimir,CRO,,30:07 ,(1),,30:07 ,
2.,Vedran Bijelić ,M35 ,OK Bjelovar,CRO,,31:28 ,(2),,31:28 ,+01:21
3.,Tomislav Kaniški ,M35 ,OK Maksimir,CRO,,33:34 ,(3),,33:34 ,+03:27
4.,Tihomir Salopek ,M35 ,OK Ris,CRO,,35:02 ,(4),,35:02 ,+04:55
5.,Tomislav Vuk ,M35 ,OK Vihor,CRO,,37:58 ,(5),,37:58 ,+07:51
6.,Branimir Pongrac ,M35 ,OK Japetić,CRO,,39:25 ,(6),,39:25 ,+09:18
7.,Ivan Bublić ,M35 ,OK Kapela,CRO,,39:52 ,(7),,39:52 ,+09:45
8.,Franjo Budi ,M35 ,OK Japetić,CRO,,40:07 ,(8),,40:07 ,+10:00
9.,Ivan Gverić ,M35 ,OK Kapela,CRO,,41:59 ,(9),,41:59 ,+11:52
10.,Vladimir Spasić ,M35 ,OK Kapela,CRO,,42:37 ,(10),,42:37 ,+12:30
11.,Tomislav Meštrović ,M35 ,OK Kapela,CRO,,46:40 ,(11),,46:40 ,+16:33
12.,Goran Rihter ,M35 ,OK Kapela,CRO,,47:04 ,(12),,47:04 ,+16:57
13.,Marko Bunčić ,M35 ,OK Kapela,CRO,,57:55 ,(13),,57:55 ,+27:48
14.,Darko Surjan ,M35 ,OK Kapela,CRO,,60:10 ,(14),,60:10 ,+30:03
15.,Duje Rako ,M35 ,OK Vihor,CRO,,60:49 ,(15),,60:49 ,+30:42
,Luka Kosić ,M35 ,OK Japetić,CRO,,dns ,,,disq ,
,Goran Vodopija ,M35 ,OK Kapela,CRO,,dns ,,,disq ,
,,,,,,,,,,
M45,,,,,,,,,,
1.,Robert Orehoci ,M45 ,OK Bjelovar,CRO,,27:58 ,(1),,27:58 ,
2.,Damir Gobec ,M45 ,OK Vihor,CRO,,31:39 ,(2),,31:39 ,+03:41
3.,Predrag Markulinčić ,M45 ,OK Međimurje,CRO,,32:30 ,(3),,32:30 ,+04:32
4.,Darko Merunka ,M45 ,OK Maksimir,CRO,,32:32 ,(4),,32:32 ,+04:34
5.,Mario Nimac ,M45 ,OK Kapela,CRO,,36:00 ,(5),,36:00 ,+08:02
6.,Bojan Vukelić ,M45 ,OK Maksimir,CRO,,37:42 ,(6),,37:42 ,+09:44
7.,Zdenko Horjan ,M45 ,OK Vihor,CRO,,37:44 ,(7),,37:44 ,+09:46
8.,Vladimir Trivunović ,M45 ,OK Kapela,CRO,,39:34 ,(8),,39:34 ,+11:36
9.,Mladen Vukmanović ,M45 ,OK Kapela,CRO,,39:51 ,(9),,39:51 ,+11:53
10.,Domagoj Šantić ,M45 ,OK Bjelovar,CRO,,40:27 ,(10),,40:27 ,+12:29
11.,Marijan Bogović ,M45 ,OK Jelen,CRO,,41:21 ,(11),,41:21 ,+13:23
12.,Domagoj Pavlin ,M45 ,OK Vihor,CRO,,43:40 ,(12),,43:40 ,+15:42
13.,Vlatko Tounec ,M45 ,OK Kapela,CRO,,44:59 ,(13),,44:59 ,+17:01
14.,Petar Strmečki ,M45 ,OK Maksimir,CRO,,45:28 ,(14),,45:28 ,+17:30
15.,Hrvoje Dasović ,M45 ,OK Kapela,CRO,,45:33 ,(15),,45:33 ,+17:35
16.,Damir Hercigonja ,M45 ,OK Kapela,CRO,,55:54 ,(16),,55:54 ,+27:56
17.,Zdravko Tonković ,M45 ,OK Kapela,CRO,,65:05 ,(17),,65:05 ,+37:07
18.,Zdravko Šaflin ,M45 ,OK Jelen,CRO,,78:35 ,(18),,78:35 ,+50:37
19.,Miodrag Truhlaž ,M45 ,OK Bjelovar,CRO,,87:40 ,(19),,87:40 ,+59:42
,,,,,,,,,,
M55,,,,,,,,,,
1.,Dario Štambuk ,M55 ,OK Ivan Merz,CRO,,30:17 ,(1),,30:17 ,
2.,Saša Horvat ,M55 ,OK Maksimir,CRO,,34:24 ,(2),,34:24 ,+04:07
3.,Mladen Jelić ,M55 ,OK Kapela,CRO,,38:31 ,(3),,38:31 ,+08:14
4.,Mile Mioković ,M55 ,OK Kapela,CRO,,41:25 ,(4),,41:25 ,+11:08
5.,Ivica Lukačić ,M55 ,,,,44:04 ,(5),,44:04 ,+13:47
6.,Slobodan Sokolović ,M55 ,OK Bjelovar,CRO,,51:19 ,(6),,51:19 ,+21:02
7.,Krešo Špoljar ,M55 ,OK Kapela,CRO,,64:01 ,(7),,64:01 ,+33:44
8.,Miroslav Besten ,M55 ,OK Jelen,CRO,,82:27 ,(8),,82:27 ,+52:10
,Robert Vuk ,M55 ,OK Kapela,CRO,,mp ,,,disq ,
