Surname,First name,Time,Classifier,kategorija,km,m,Course controls
Vukelić,Juraj,15:49,0,M12,2.07,60,7
Strmečki,Vibor,24:41,0,M12,2.07,60,7
Milković,Patrick,30:42,0,M12,2.07,60,7
Smital,Mika,31:50,0,M12,2.07,60,7
Boban,Jakov,48:17,0,M12,2.07,60,7
Meštrović,Martin,55:17,0,M12,2.07,60,7
Hovorka,Vid,,1,M12,2.07,60,7
Pevec,Ozren,40:34,0,M14,2.83,90,9
Kuzmanić,Borna,42:31,0,M14,2.83,90,9
Putarek,Mislav,46:33,0,M14,2.83,90,9
Pavić,Viktor,67:24,0,M14,2.83,90,9
Kocijan,Luka,62:08,0,M16,4.09,150,13
Krajnović,Luka,65:39,0,M16,4.09,150,13
Smital,Tomo,83:08,0,M16,4.09,150,13
Cindrić,Antonio,89:28,0,M16,4.09,150,13
Štambuk,Andro Vladimir,60:57,0,M20,6.51,325,14
Gobec,Jan,72:13,0,M20,6.51,325,14
Kukec,Jura,72:51,0,M20,6.51,325,14
Puharić,Roko,79:24,0,M20,6.51,325,14
Cvetković,Filip,81:19,0,M20,6.51,325,14
Verović,Kristijan,195:10,1,M20,6.51,325,14
Gobec,Timo Vilim,71:21,3,M20,6.51,325,14
Filetin,Luka,72:19,0,M21A,7.28,360,18
Horvat,Lobel,76:03,0,M21A,7.28,360,18
Bijelić,Vedran,79:15,0,M21A,7.28,360,18
Štambuk,Mario,80:11,0,M21A,7.28,360,18
Čapeta,Davor,80:31,0,M21A,7.28,360,18
Gadžić,Dražen,82:38,0,M21A,7.28,360,18
Varnica,Tomislav,83:08,0,M21A,7.28,360,18
Kaldi,Vedran,92:47,0,M21A,7.28,360,18
Kirin,Dominik,,2,M21A,7.28,360,18
Kropivšek,Leon,,1,M21A,7.28,360,18
Jelić,Ivor,45:15,0,M21B,4.09,150,13
Bublić,Ivan,57:24,0,M21B,4.09,150,13
Mađarić,Predrag,68:21,0,M21B,4.09,150,13
Mesic,Matija,68:40,0,M21B,4.09,150,13
Salgado,Jorge,110:46,0,M21B,4.09,150,13
Miljković,Borna,130:50,0,M21B,4.09,150,13
Luri,Javi,,1,M21B,4.09,150,13
Delimar,Domagoj,,2,M21B,4.09,150,13
Ocvirk,Edi,58:16,0,M35,6.51,325,14
Delić,Petar,61:21,0,M35,6.51,325,14
Vodopija,Goran,64:12,0,M35,6.51,325,14
Orehoci,Robert,67:44,0,M35,6.51,325,14
Pongrac,Branimir,69:01,0,M35,6.51,325,14
Klobučarić,Damir,72:14,0,M35,6.51,325,14
Vuk,Tomislav,76:38,0,M35,6.51,325,14
Meštrović,Tomislav,86:09,0,M35,6.51,325,14
Novosel,Zdravko,92:16,0,M35,6.51,325,14
Miljković,Damir,93:53,0,M35,6.51,325,14
Stankovski,Dalibor,94:56,0,M35,6.51,325,14
Canjuga,Krunoslav,97:10,0,M35,6.51,325,14
Šantić,Domagoj,103:04,0,M35,6.51,325,14
Kacmar,Michael,121:55,3,M35,6.51,325,14
Gojčič,Matej,,1,M35,6.51,325,14
Spasić,Vladimir,,1,M35,6.51,325,14
Gobec,Damir,54:20,0,M45,4.95,200,13
Miháczi,Zoltán,56:43,0,M45,4.95,200,13
Merunka,Darko,60:57,0,M45,4.95,200,13
Delgado,Francisco,63:38,0,M45,4.95,200,13
Penić,Ivan Ivo,68:32,0,M45,4.95,200,13
Vukelić,Bojan,70:51,0,M45,4.95,200,13
