Surname,First name,Time,Classifier,Course,km,m,Course controls
Vukics,Zénó,11:03,0,M12,1.16,10,12
Strmečki,Vibor,13:51,0,M12,1.16,10,12
Kuzmanić,Borna,14:58,0,M12,1.16,10,12
Skopljak,David,21:51,3,M12,1.16,10,12
Odak,Toni,28:08,3,M12,1.16,10,12
Vidaković,Fabijan,18:33,3,M12,1.16,10,12
Odak,Jakov,17:48,3,M12,1.16,10,12
Salopek,Tihon,09:55,0,M16,1.68,35,15
Gobec,Jan,10:11,0,M16,1.68,35,15
Guliš,Zvonimir,30:45,0,M16,1.68,35,15
Vodopija,Bruno,,3,M16,1.68,35,15
Gazdag,Kristóf,14:00,3,M16,1.68,35,15
Kodba,Vid,,1,M16,1.68,35,15
Kodba,Tin,,1,M16,1.68,35,15
Težak,Karlo,16:29,0,M20,2.2,50,15
Verović,Kristijan,19:10,0,M20,2.2,50,15
Puharić,Roko,42:04,0,M20,2.2,50,15
Štambuk,Andro Vladimir,,1,M20,2.2,50,15
Ivković,Luka,13:52,0,M21,2.28,60,17
Horvat,Lobel,15:06,0,M21,2.28,60,17
Gobec,Damir,15:34,0,M21,2.28,60,17
Bahun,Luka,16:45,0,M21,2.28,60,17
Kersity,Andras,16:49,0,M21,2.28,60,17
Marković,Frane,17:35,0,M21,2.28,60,17
Leljak,Marko,17:41,0,M21,2.28,60,17
Bogović,Marijan,17:44,0,M21,2.28,60,17
Kelemen,Tomislav,19:17,0,M21,2.28,60,17
Šeperić-Grdiša,Ivan,21:15,0,M21,2.28,60,17
Janžek,Gregor,24:27,0,M21,2.28,60,17
Grgić,Mihael,28:01,0,M21,2.28,60,17
Stankovski,Dalibor,22:49,3,M21,2.28,60,17
Šomođi,Vanja,,3,M21,2.28,60,17
Salopek,Tihomir,11:27,0,M35,2.08,30,15
Gavrilov,Igor,11:34,0,M35,2.08,30,15
Ocvirk,Edi,11:54,0,M35,2.08,30,15
Delić,Petar,12:20,0,M35,2.08,30,15
Budi,Franjo,13:25,0,M35,2.08,30,15
Hainž,Miroslav,13:37,0,M35,2.08,30,15
Fabijanić,Daniel,14:40,0,M35,2.08,30,15
Vodopija,Goran,14:50,0,M35,2.08,30,15
Meštrović,Tomislav,14:57,0,M35,2.08,30,15
Canjuga,Krunoslav,16:24,0,M35,2.08,30,15
Markulinčić,Predrag,17:05,0,M35,2.08,30,15
Kosić,Luka,18:11,0,M35,2.08,30,15
Orehovec,Ranko,21:35,0,M35,2.08,30,15
Kaniški,Tomislav,,1,M35,2.08,30,15
Orehoci,Robert,,3,M35,2.08,30,15
Lovrec,Nenad,14:07,0,M50,1.77,35,17
Merunka,Darko,15:10,0,M50,1.77,35,17
Jelić,Mladen,16:49,0,M50,1.77,35,17
Strmečki,Petar,17:10,0,M50,1.77,35,17
Janžek,Dražen,17:21,0,M50,1.77,35,17
Štambuk,Dario,17:29,0,M50,1.77,35,17
Bončina,Igor,18:03,0,M50,1.77,35,17
Horvat,Saša,18:12,0,M50,1.77,35,17
Raškaj,Darko,19:07,0,M50,1.77,35,17
Špoljar,Krešo,20:14,0,M50,1.77,35,17
Vinko,Branimir,21:33,0,M50,1.77,35,17
Kiss Dr.,Endre,42:00,0,M50,1.77,35,17
Priher,Miroslav,,4,M50,1.77,35,17
Lah,Siniša,12:51,0,OPEN,1.35,20,15
Barbir,Katarina,13:50,0,OPEN,1.35,20,15
Držaić,Doroteja,14:00,0,OPEN,1.35,20,15
Budi,Ana,15:03,0,OPEN,1.35,20,15
Pevec,Ozren,15:03,0,OPEN,1.35,20,15
Turkalj,Milan,15:23,0,OPEN,1.35,20,15
Detić,Lidija,16:24,0,OPEN,1.35,20,15
Tkalec,Jakov,16:29,0,OPEN,1.35,20,15
Baburek,Gabrijela,16:44,0,OPEN,1.35,20,15
Svoren,Luka,16:47,0,OPEN,1.35,20,15
Putarek,Mislav,17:01,0,OPEN,1.35,20,15
Bončina,Abigael,17:56,0,OPEN,1.35,20,15
Horvat,Mirjana,18:32,0,OPEN,1.35,20,15
Turk,Noa,18:39,0,OPEN,1.35,20,15
Zovak,Bruno,19:14,0,OPEN,1.35,20,15
Labaš,Predrag,19:25,0,OPEN,1.35,20,15
Vukics,Simon,19:37,0,OPEN,1.35,20,15
Kostelac,Marija,19:44,0,OPEN,1.35,20,15
Gazdag,Szilveszter,19:49,0,OPEN,1.35,20,15
Detić,Iva,20:17,0,OPEN,1.35,20,15
Modrić,Matija,21:12,0,OPEN,1.35,20,15
Lah,Mario,21:16,0,OPEN,1.35,20,15
Vidaković,Zvonko,21:18,0,OPEN,1.35,20,15
Volarac,Igor,22:35,0,OPEN,1.35,20,15
Oklopčić,Suzana,23:42,0,OPEN,1.35,20,15
Benazić,Karin,24:42,0,OPEN,1.35,20,15
Radeljić,Antonija,25:32,0,OPEN,1.35,20,15
Logarić,Tea,26:25,0,OPEN,1.35,20,15
Govedarica,Zvjezdana,27:55,0,OPEN,1.35,20,15
Rodek,Jura,28:55,0,OPEN,1.35,20,15
Tkalec,Robert,,1,OPEN,1.35,20,15
Tkalec,Roberta,,1,OPEN,1.35,20,15
