Pos.,St. No.,Name,Class,Club,Country,Time 1,,Time,Time+
1.,99,Turkalj Milan,M65,IME,CRO,36:59,(1),36:59,
2.,53,Čepelak Radovan,M65,MAK,CRO,58:58,(2),58:58,+21:59
3.,52,Debic Mladen,M65,MAK,CRO,79:31,(3),79:31,+42:32

Open     (1620m, 75m)
1.,48,Strmečki Vibor,Open,MAK,CRO,28:52,(1),28:52,
2.,103,Jurak Filip,Open,IME,CRO,31:43,(2),31:43,+02:51
3.,135,Tišljar Mirko,Open,ORI,CRO,50:27,(3),50:27,+21:35
4.,56,Vukelić Juraj,Open,MAK,CRO,54:09,(4),54:09,+25:17
5.,136,Altaras Penda Ivor,Open,,,61:26,(5),61:26,+32:34
6.,140,Kosić Luka,Open,,,66:46,(6),66:46,+37:54
,141,Kalaica Tamara,Open,,,dns,,disq,
,142,Pavlin Vesna,Open,,,dns,,disq,
,95,Poslončec-Petrić Vesna,Open,VIH,CRO,dns,,disq,

Ž12     (1550m, 75m)
1.,54,Vukelić Dora,Ž12,MAK,CRO,31:06,(1),31:06,
2.,5,Lesjak Jelena,Ž12,JAP,CRO,31:20,(2),31:20,+00:14
3.,4,Tadić Eli,Ž12,JAP,CRO,35:06,(3),35:06,+04:00
4.,107,Štambuk Zdenka Petra,Ž12,IME,CRO,37:07,(4),37:07,+06:01
,70,Delgado Sršen Kira,Ž12,VIH,CRO,dns,,disq,
,100,Kršić Lea,Ž12,IME,CRO,dnf,,disq,

Ž14     (1620m, 75m)
1.,133,Tišljar Ana,Ž14,ORI,CRO,31:48,(1),31:48,
2.,13,Škugor Hana,Ž14,JAP,CRO,37:14,(2),37:14,+05:26
3.,6,Magdić Govedarica Eva,Ž14,JAP,CRO,55:58,(3),55:58,+24:10
4.,7,Kobasić Rosa,Ž14,JAP,CRO,90:44,(4),90:44,+58:56
,31,Šafar Marija,Ž14,KAP,CRO,dns,,disq,
,30,Rocco Petra,Ž14,KAP,CRO,dns,,disq,
,124,Pajčin Lana,Ž14,SOV,CRO,dns,,disq,
,87,Sirovec Tara,Ž14,VIH,CRO,mp,,disq,

Ž16     (1680m, 75m)
1.,14,Ocvirk Pia,Ž16,JAP,CRO,32:45,(1),32:45,
2.,75,Lovrec Mia,Ž16,VIH,CRO,41:10,(2),41:10,+08:25
,134,Bašić Lucia Gianna,Ž16,ORI,CRO,mp,,disq,

Ž20     (1980m, 85m)
1.,69,Lovrec Iva,Ž20,VIH,CRO,30:14,(1),30:14,
2.,68,Gobec Lea Katarina,Ž20,VIH,CRO,44:53,(2),44:53,+14:39
3.,24,Orehoci Roberta,Ž20,BJE,CRO,56:48,(3),56:48,+26:34
4.,86,Težak Dora,Ž20,VIH,CRO,58:20,(4),58:20,+28:06

Ž21A     (3060m, 175m)
1.,43,Vukmanović Vinka,Ž21A,KAP,CRO,51:37,(1),51:37,
2.,78,Gobec Ivana,Ž21A,VIH,CRO,54:25,(2),54:25,+02:48
3.,16,Pavić Mirja,Ž21A,JAP,CRO,58:15,(3),58:15,+06:38
4.,17,Ocvirk Eva,Ž21A,JAP,CRO,62:31,(4),62:31,+10:54
5.,26,Orlić Antonija,Ž21A,BJE,CRO,64:30,(5),64:30,+12:53
6.,41,Kasaš Spasić Irena,Ž21A,KAP,CRO,65:03,(6),65:03,+13:26
7.,96,Krznar Kristina,Ž21A,VIH,CRO,66:41,(7),66:41,+15:04
8.,42,Leljak Nevija,Ž21A,KAP,CRO,71:48,(8),71:48,+20:11
9.,36,Kovaljesko Monika,Ž21A,KAP,CRO,72:16,(9),72:16,+20:39
10.,44,Žgela Marijana,Ž21A,KAP,CRO,74:04,(10),74:04,+22:27
11.,113,Bedeković Tanković Martina,Ž21A,JEL,CRO,79:35,(11),79:35,+27:58
12.,79,Sršen Matea,Ž21A,VIH,CRO,84:13,(12),84:13,+32:36
,97,Žužić Sanja,Ž21A,VIH,CRO,dns,,disq,

Ž21B     (1610m, 75m)
1.,138,Cini Fabiana,Ž21B,,,29:27,(1),29:27,
2.,80,Vlahović Jasminka,Ž21B,VIH,CRO,31:52,(2),31:52,+02:25
3.,37,Lučić Slađana,Ž21B,KAP,CRO,40:56,(3),40:56,+11:29
4.,98,Dubravčić Asja,Ž21B,VIH,CRO,41:47,(4),41:47,+12:20
5.,119,Magušić Radmila,Ž21B,SOV,CRO,41:51,(5),41:51,+12:24
6.,104,Kopjar Marina,Ž21B,IME,CRO,43:16,(6),43:16,+13:49
7.,21,Spudić Valeria,Ž21B,BJE,CRO,44:50,(7),44:50,+15:23
,81,Stipic Bernardica,Ž21B,VIH,CRO,dns,,disq,

Ž35     (2110m, 115m)
1.,47,Jakšić Mirka,Ž35,MAK,CRO,53:14,(1),53:14,
2.,127,Cindrić Perković Jasminka,Ž35,OKM,CRO,55:20,(2),55:20,+02:06
3.,137,Seražin Korper Sabina,Ž35,,,58:06,(3),58:06,+04:52
4.,32,Sertić Ivana,Ž35,KAP,CRO,69:35,(4),69:35,+16:21
5.,72,Kušt Maja,Ž35,VIH,CRO,103:53,(5),103:53,+50:39
6.,71,Lovrec Darinka,Ž35,VIH,CRO,120:10,(6),120:10,+66:56
,8,Lesjak Sonja,Ž35,JAP,CRO,dns,,disq,
,33,Božić Liliana,Ž35,KAP,CRO,dns,,disq,

Ž45     (1610m, 75m)
1.,34,Ebenspanger Emilija,Ž45,KAP,CRO,42:55,(1),42:55,
2.,101,Majer Melanija,Ž45,IME,CRO,44:55,(2),44:55,+02:00
3.,74,Cvitković Maja,Ž45,VIH,CRO,49:21,(3),49:21,+06:26
4.,55,Vendler Čepelak Željka,Ž45,MAK,CRO,49:22,(4),49:22,+06:27
5.,88,Sirovec Marija,Ž45,VIH,CRO,57:20,(5),57:20,+14:25
