------------------------------------------------------------------------
34. Pokal Zagreba                                   pon 22.9.2014. 13:12
Rezultati
----------------------OE2003 © Stephan Krämer 2008----------------------

   Pl   Stbr Ime                       GR Klub                        Vrijeme 



M12  (3)                  1.4 km  70 m/u   7 KT   

    3        Brodarac, Štefica            OK Vihor Vihor              1:40:38 

         201 Tkalèiæ Suban, Ivana         OK Japetic JAP                  DNS 



M35  (15)                 4.1 km  215 m/u   18 KT 

    1        Salopek, Tihomir             OK Ris Del RIS                35:36 
    2        Legac, Lino               78 OK Japetic JAP                36:10 
    3        Orehoci, Robert              OK Bjelova BJE                40:31 
    4        Fabijaniæ, Daniel         79 OK Jelen OK Jelen             44:28 
    5        Dorotic, Igor             76 OK Vihor Vihor                48:17 
    6    205 Vodopija, Goran           75 OK Kapela KAP                 48:31 
    7        Vukmanoviæ, Mladen        72 OK Kapela KAP                 49:30 
    8        Budi, Franjo              77 OK Japetic JAP                52:07 
    9        Suban, Damir              77 OK Japetic JAP                53:58 
   10        Vukeliæ, Bojan               OK Maksimi Maksimir           55:06 
   11        Delgado, Pako             73 OK Vihor Vihor                57:06 
   12        Vuk, Tomislav             77 OK Vihor Vihor                58:36 
   13    211 Habuš, Ivan                  OK Vihor Vihor                58:55 
   14    200 Marko, Oreškoviæ             OK Japetic JAP              1:10:47 
   15    212 Domagoj, Vidoviæ             Ind Ind                     1:13:25 



Ž35  (8)                  3.4 km  155 m/u   12 KT 

    1        Nikoliæ, Bojana              OK Vihor Vihor                50:12 
    2     35 Jakšiæ, Mirka                OK Maksimi Maksimir           52:51 
    3        Cindriæ Perkoviæ, Jasmin  76 OK Medjimu OKM                52:55 
    4     36 Cini, Fabiana                OK Maksimi Maksimir           54:03 
    5        Lovrec, Darinka              OK Vihor Vihor                59:06 
    6     81 Ðurek, Tea                   OK Vihor Vihor              1:18:07 
    7        Srebaèiæ, Davorka            Ivan Merz IME               1:19:31 

         206 Luèiæ, Slaðana               OK Kapela KAP                    MP 



M45  (6)                  3.4 km  155 m/u   12 KT 

    1        Merunka, Darko            63 OK Maksimi Maksimir           29:48 
    2        Štambuk, Dario               Ivan Merz IME                 34:52 
    3        Gobec, Karlo              63 OK Vihor Vihor                36:26 
    4        Lovrec, Nenad             61 OK Vihor Vihor                37:27 
    5        Bogoviæ, Marijan          68 OK Jelen OK Jelen             38:53 
    6        Jeliæ, Mladen             53 OK Kapela KAP               1:04:49 



Ž45  (5)                  2.7 km  130 m/u   10 KT 

    1        Cvitkoviæ, Maja           63 OK Vihor Vihor                51:38 
    2        Ebenspanger, Emilija         OK Kapela KAP                 57:15 
    3        Fabek, Branka                OK Japetic JAP              1:00:50 
    4        Èuljak Gross, Mladenka       OK Kapela KAP               1:09:16 

             Majer, Melanija              Ivan Merz IME                    MP 



M55  (3)                  2.7 km  130 m/u   10 KT 

    1        Pongrac, Ivan                OK Japetic JAP                48:01 
    2        Belaj, Željko             51 OK Bjelova BJE                52:11 

         204 Magušiæ, Franjo              OK Sova OK Sova                 DNS 



